Country,Population,Rate,Net,Density,World_Share,Region,Year,Income
China,1438207241,0.39,5540090,153,18.47,East Asia & Pacific,2020,Upper middle income
India,1377233523,0.99,13586631,464,17.7,South Asia,2020,Lower middle income
United States of America,330610570,0.59,1937734,36,4.25,North America,2020,High income
Indonesia,272931713,1.07,2898047,151,3.51,East Asia & Pacific,2020,Upper middle income
Pakistan,219992900,2,4327022,287,2.83,South Asia,2020,Lower middle income
Brazil,212253150,0.72,1509890,25,2.73,Latin America & Caribbean,2020,Upper middle income
Nigeria,205052107,2.58,5175990,226,2.64,Sub-Saharan Africa,2020,Lower middle income
Bangladesh,164354176,1.01,1643222,1265,2.11,South Asia,2020,Lower middle income
Russia,145922010,0.04,62206,9,1.87,Europe & Central Asia,2020,Upper middle income
Mexico,128655589,1.06,1357224,66,1.65,Latin America & Caribbean,2020,Upper middle income
Japan,126552765,-0.3,-383840,347,1.62,East Asia & Pacific,2020,High income
Ethiopia,114357494,2.57,2884858,115,1.47,Sub-Saharan Africa,2020,Low income
Philippines,109280343,1.35,1464463,368,1.41,East Asia & Pacific,2020,Lower middle income
Egypt,101930276,1.94,1946331,103,1.31,Middle East & North Africa,2020,Lower middle income
Vietnam,97160127,0.91,876473,314,1.25,East Asia & Pacific,2020,Lower middle income
Dominican Republic of Congo,88972681,3.19,2770836,40,1.15,Sub-Saharan Africa,2020,Upper middle income
Turkey,84153250,1.09,909452,110,1.08,Europe & Central Asia,2020,Upper middle income
Iran,83771587,1.3,1079043,52,1.08,Middle East & North Africa,2020,Lower middle income
Germany,83730223,0.32,266897,240,1.07,Europe & Central Asia,2020,High income
Thailand,69764925,0.25,174396,137,0.9,East Asia & Pacific,2020,Upper middle income
United Kingdom,67814098,0.53,355839,281,0.87,Europe & Central Asia,2020,High income
France,65244628,0.22,143783,119,0.84,Europe & Central Asia,2020,High income
Italy,60479424,-0.15,-88249,206,0.78,Europe & Central Asia,2020,High income
Tanzania,59368313,2.98,1728755,67,0.77,Sub-Saharan Africa,2020,Lower middle income
South Africa,59154802,1.28,750420,49,0.76,Sub-Saharan Africa,2020,Upper middle income
Myanmar,54335948,0.67,364380,83,0.7,East Asia & Pacific,2020,Lower middle income
Kenya,53521116,2.28,1197323,94,0.69,Sub-Saharan Africa,2020,Lower middle income
South Korea,51260395,0.09,43877,527,0.66,East Asia & Pacific,2020,High income
Colombia,50771878,1.08,543448,46,0.65,Latin America & Caribbean,2020,Upper middle income
Spain,46751175,0.04,18002,94,0.6,Europe & Central Asia,2020,High income
Uganda,45427637,3.32,1471413,229,0.59,Sub-Saharan Africa,2020,Low income
Argentina,45111229,0.93,415097,17,0.58,Latin America & Caribbean,2020,Upper middle income
Ukraine,43785122,-0.59,-259876,75,0.56,Sub-Saharan Africa,2020,Lower middle income
Algeria,43685618,1.85,797990,18,0.56,Europe & Central Asia,2020,Lower middle income
Sudan,43632213,2.42,1036022,25,0.56,Middle East & North Africa,2020,Low income
Iraq,40031626,2.32,912710,93,0.52,Middle East & North Africa,2020,Upper middle income
Afghanistan,38742911,2.33,886592,60,0.5,South Asia,2020,Low income
Poland,37854825,-0.11,-41157,124,0.49,Europe & Central Asia,2020,High income
Canada,37674770,0.89,331107,4,0.48,North America,2020,High income
Morocco,36820713,1.2,438791,83,0.47,Middle East & North Africa,2020,Lower middle income
Saudi Arabia,34701377,1.59,545343,16,0.45,Middle East & North Africa,2020,High income
Uzbekistan,33368859,1.48,487487,79,0.43,Europe & Central Asia,2020,Lower middle income
Peru,32876986,1.42,461401,26,0.42,Latin America & Caribbean,2020,Upper middle income
Angola,32644783,3.27,1040977,26,0.42,Sub-Saharan Africa,2020,Lower middle income
Malaysia,32280610,1.3,416222,99,0.42,East Asia & Pacific,2020,Upper middle income
Mozambique,31067362,2.93,889399,40,0.4,Sub-Saharan Africa,2020,Low income
Ghana,30936375,2.15,655084,137,0.4,Sub-Saharan Africa,2020,Lower middle income
Yemen,29687214,2.28,664042,56,0.38,Middle East & North Africa,2020,Low income
Nepal,29027347,1.85,528098,203,0.37,South Asia,2020,Lower middle income
Venezuela,28451828,-0.28,-79889,32,0.36,Latin America & Caribbean,2020,Upper middle income
