Country,Population,Rate,Net,Density,World_Share,Region,Year,Income,Popden
China,1438207241,0.39,5540090,153,18.47,East Asia & Pacific,2020,Upper middle income,0.24970276
India,1377233523,0.99,13586631,464,17.7,South Asia,2020,Lower middle income,0.511963148
United States of America,330610570,0.59,1937734,36,4.25,North America,2020,High income,0.05399601
Indonesia,272931713,1.07,2898047,151,3.51,East Asia & Pacific,2020,Upper middle income,0.24970276
Pakistan,219992900,2,4327022,287,2.83,South Asia,2020,Lower middle income,0.511963148
Brazil,212253150,0.72,1509890,25,2.73,Latin America & Caribbean,2020,Upper middle income,0.24970276
Nigeria,205052107,2.58,5175990,226,2.64,Sub-Saharan Africa,2020,Lower middle income,0.511963148
Bangladesh,164354176,1.01,1643222,1265,2.11,South Asia,2020,Lower middle income,0.511963148
Russia,145922010,0.04,62206,9,1.87,Europe & Central Asia,2020,Upper middle income,0.24970276
Mexico,128655589,1.06,1357224,66,1.65,Latin America & Caribbean,2020,Upper middle income,0.24970276
Japan,126552765,-0.3,-383840,347,1.62,East Asia & Pacific,2020,High income,0.05399601
Ethiopia,114357494,2.57,2884858,115,1.47,Sub-Saharan Africa,2020,Low income,0.184338082
Philippines,109280343,1.35,1464463,368,1.41,East Asia & Pacific,2020,Lower middle income,0.511963148
Egypt,101930276,1.94,1946331,103,1.31,Middle East & North Africa,2020,Lower middle income,0.511963148
Vietnam,97160127,0.91,876473,314,1.25,East Asia & Pacific,2020,Lower middle income,0.511963148
Dominican Republic of Congo,88972681,3.19,2770836,40,1.15,Sub-Saharan Africa,2020,Upper middle income,0.24970276
Turkey,84153250,1.09,909452,110,1.08,Europe & Central Asia,2020,Upper middle income,0.24970276
Iran,83771587,1.3,1079043,52,1.08,Middle East & North Africa,2020,Lower middle income,0.511963148
Germany,83730223,0.32,266897,240,1.07,Europe & Central Asia,2020,High income,0.05399601
Thailand,69764925,0.25,174396,137,0.9,East Asia & Pacific,2020,Upper middle income,0.24970276
United Kingdom,67814098,0.53,355839,281,0.87,Europe & Central Asia,2020,High income,0.05399601
France,65244628,0.22,143783,119,0.84,Europe & Central Asia,2020,High income,0.05399601
Italy,60479424,-0.15,-88249,206,0.78,Europe & Central Asia,2020,High income,0.05399601
Tanzania,59368313,2.98,1728755,67,0.77,Sub-Saharan Africa,2020,Lower middle income,0.511963148
South Africa,59154802,1.28,750420,49,0.76,Sub-Saharan Africa,2020,Upper middle income,0.24970276
Myanmar,54335948,0.67,364380,83,0.7,East Asia & Pacific,2020,Lower middle income,0.511963148
Kenya,53521116,2.28,1197323,94,0.69,Sub-Saharan Africa,2020,Lower middle income,0.511963148
South Korea,51260395,0.09,43877,527,0.66,East Asia & Pacific,2020,High income,0.05399601
Colombia,50771878,1.08,543448,46,0.65,Latin America & Caribbean,2020,Upper middle income,0.24970276
Spain,46751175,0.04,18002,94,0.6,Europe & Central Asia,2020,High income,0.05399601
Uganda,45427637,3.32,1471413,229,0.59,Sub-Saharan Africa,2020,Low income,0.184338082
Argentina,45111229,0.93,415097,17,0.58,Latin America & Caribbean,2020,Upper middle income,0.24970276
Ukraine,43785122,-0.59,-259876,75,0.56,Sub-Saharan Africa,2020,Lower middle income,0.511963148
Algeria,43685618,1.85,797990,18,0.56,Europe & Central Asia,2020,Lower middle income,0.511963148
Sudan,43632213,2.42,1036022,25,0.56,Middle East & North Africa,2020,Low income,0.184338082
Iraq,40031626,2.32,912710,93,0.52,Middle East & North Africa,2020,Upper middle income,0.24970276
Afghanistan,38742911,2.33,886592,60,0.5,South Asia,2020,Low income,0.184338082
Poland,37854825,-0.11,-41157,124,0.49,Europe & Central Asia,2020,High income,0.05399601
Canada,37674770,0.89,331107,4,0.48,North America,2020,High income,0.05399601
Morocco,36820713,1.2,438791,83,0.47,Middle East & North Africa,2020,Lower middle income,0.511963148
Saudi Arabia,34701377,1.59,545343,16,0.45,Middle East & North Africa,2020,High income,0.05399601
Uzbekistan,33368859,1.48,487487,79,0.43,Europe & Central Asia,2020,Lower middle income,0.511963148
Peru,32876986,1.42,461401,26,0.42,Latin America & Caribbean,2020,Upper middle income,0.24970276
Angola,32644783,3.27,1040977,26,0.42,Sub-Saharan Africa,2020,Lower middle income,0.511963148
Malaysia,32280610,1.3,416222,99,0.42,East Asia & Pacific,2020,Upper middle income,0.24970276
Mozambique,31067362,2.93,889399,40,0.4,Sub-Saharan Africa,2020,Low income,0.184338082
Ghana,30936375,2.15,655084,137,0.4,Sub-Saharan Africa,2020,Lower middle income,0.511963148
Yemen,29687214,2.28,664042,56,0.38,Middle East & North Africa,2020,Low income,0.184338082
Nepal,29027347,1.85,528098,203,0.37,South Asia,2020,Lower middle income,0.511963148
Venezuela,28451828,-0.28,-79889,32,0.36,Latin America & Caribbean,2020,Upper middle income,0.24970276
Madagascar,27539106,2.68,721711,48,0.36,Sub-Saharan Africa,2020,Low income,0.184338082
Cameroon,26405174,2.59,669483,56,0.34,Sub-Saharan Africa,2020,Lower middle income,0.511963148
Côte d'Ivoire,26239250,2.57,661730,83,0.34,Sub-Saharan Africa,2020,Lower middle income,0.511963148
North Korea,25756088,0.44,112655,214,0.33,East Asia & Pacific,2020,Low income,0.184338082
Australia,25439164,1.18,296686,3,0.33,Australia,2020,High income,0.05399601
Niger,24014064,3.84,895929,19,0.31,Sub-Saharan Africa,2020,Low income,0.184338082
Taiwan,23808164,0.18,42899,673,0.31,East Asia & Pacific,2020,Lower middle income,0.511963148
Sri Lanka,21395196,0.42,89516,341,0.27,South Asia,2020,Lower middle income,0.511963148
Burkina Faso,20780371,2.86,581895,76,0.27,Sub-Saharan Africa,2020,Low income,0.184338082
Mali,20125282,3.02,592802,17,0.26,Sub-Saharan Africa,2020,Low income,0.184338082
Romania,19262731,-0.66,-126866,84,0.25,Europe & Central Asia,2020,High income,0.05399601
Chile,19082804,0.87,164163,26,0.25,Sub-Saharan Africa,2020,High income,0.05399601
Malawi,19024426,2.69,501205,203,0.25,Latin America & Caribbean,2020,Low income,0.184338082
Kazakhstan,18730568,1.21,225280,7,0.24,Europe & Central Asia,2020,Upper middle income,0.24970276
Zambia,18273379,2.93,522925,25,0.24,Sub-Saharan Africa,2020,Lower middle income,0.511963148
Guatemala,17846248,1.9,334096,167,0.23,Latin America & Caribbean,2020,Upper middle income,0.24970276
Ecuador,17587526,1.55,269392,71,0.23,Latin America & Caribbean,2020,Upper middle income,0.24970276
Syria,17410293,2.52,430523,95,0.22,Middle East & North Africa,2020,Low income,0.184338082
Netherlands,17127290,0.22,37742,508,0.22,Europe & Central Asia,2020,High income,0.05399601
